"Mail Sending Settings","Paramètrage de l'envoi d'e-mail"
"Disable Email Communications","Désactiver les communications par e-mail"
"Send email via","Envoyer les emails via"
"Host","Serveur"
"Username","Nom d'utilisateur"
"Password","Mot de passe"
"Set Return-Path","Définir le Return-Path"
"No","Non"
"Yes","Oui"
"Specified","Spécifié"
"Return-Path Email","E-mail pour le Return-Path"
"Sending test","Envoi de test"
"Sends an email to the Contact Us form recipient.","Envois un e-mail au destinataire du formulaire Contactez-nous."
"Test fail!","Echec du test !"
"check exception.log file","vérifiez le fichier exception.log"
"Test success!","Test réussi !"
"Baobaz CustomSmtp Test Bot","Robot de test de Baobaz CustomSmtp"